año,mes,dia,2759,2673,2826,2819,2757,2748,2725,2718,2715,2683,2680,2670,2498,2549,2452,86545,2634,27590,2588,2632
1981,3,7,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,8,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,9,NaN,0,0,0,NaN,7,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,10,NaN,0,0,21,NaN,25,0,NaN,4,0,0,12,3,0,NaN,11,0,NaN,3,0
1981,3,11,NaN,0,0,0,NaN,2,7,NaN,0,6,1,3,8,11,NaN,8,2,NaN,3,4
1981,3,12,NaN,0,0,3,NaN,0,5,NaN,7,20,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,13,NaN,0,3,7,NaN,0,11,NaN,0,15,2,0,0,5,NaN,4,10,NaN,14,10
1981,3,14,NaN,0,0,0,NaN,0,5,NaN,0,11,12,0,6,8,NaN,0,5,NaN,2,5
1981,3,15,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,32,0,NaN,0,0,NaN,0,0
1981,3,16,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,17,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,18,NaN,0,0,0,NaN,4,0,NaN,0,2,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,19,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,20,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,21,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,22,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,23,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,24,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,25,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,26,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,27,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,28,NaN,0,24,4,NaN,0,22,NaN,5,15,30,2,19,9,NaN,24,26,NaN,26,14
1981,3,29,NaN,0,10,13,NaN,7,2,NaN,6,4,3,9,2,2,NaN,46,3.5,NaN,23,10
